year,tmID,franchID,confID,rank,playoff,firstRound,semis,finals,o_fgm,o_fga,o_ftm,o_fta,o_3pm,o_3pa,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_3pm,d_3pa,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_pts,won,lost,GP,homeW,homeL,awayW,awayL,confW,confL,min,coach_experience,player_average_height,player_average_weight,player_total_GP,player_total_GS,player_total_points,player_total_oRebounds,player_total_dRebounds,player_total_rebounds,player_total_assists,player_total_steals,player_total_blocks,player_total_turnovers,player_total_PF,player_total_fgAttempted,player_total_fgMade,player_total_ftAttempted,player_total_ftMade,player_total_threeAttempted,player_total_threeMade,player_total_dq,player_total_PostGP,player_total_PostGS,player_total_PostMinutes,player_total_PostPoints,player_total_PostoRebounds,player_total_PostdRebounds,player_total_PostRebounds,player_total_PostAssists,player_total_PostSteals,player_total_PostBlocks,player_total_PostTurnovers,player_total_PostPF,player_total_PostfgAttempted,player_total_PostfgMade,player_total_PostftAttempted,player_total_PostftMade,player_total_PostthreeAttempted,player_total_PostthreeMade,player_total_PostDQ,player_total_awards
8,CHI,CHI,EA,6,N,,,,925,2277,489,723,186,544,383,782,1165,597,634,262,510,112,2525,963,2243,501,642,184,481,379,846,1225,584,683,242,566,138,2611,14,20,34,6,11,8,9,6,14,6972,0.0,181.07142857142856,75.78571428571429,348.0,170.0,2525.0,383.0,782.0,1165.0,597.0,262.0,112.0,493.0,634.0,2277.0,925.0,723.0,489.0,544.0,186.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
8,CON,CON,EA,3,Y,L,,,1001,2327,478,615,195,572,354,868,1222,619,641,272,540,156,2675,976,2317,475,626,166,485,337,842,1179,581,633,246,524,85,2593,18,16,34,8,9,10,7,10,10,6925,1713.0,182.30769230769232,78.15384615384616,344.0,170.0,2675.0,354.0,868.0,1222.0,619.0,272.0,156.0,522.0,641.0,2327.0,1001.0,615.0,478.0,572.0,195.0,4.0,29.0,15.0,701.0,240.0,26.0,92.0,118.0,58.0,19.0,15.0,48.0,57.0,231.0,94.0,42.0,32.0,69.0,20.0,0.0,0.0
8,DET,DET,EA,1,Y,W,W,L,972,2261,595,785,158,442,380,931,1311,563,702,227,564,117,2697,895,2262,547,718,203,610,309,780,1089,546,767,276,529,117,2540,24,10,34,12,5,12,5,14,6,6850,1691.0,182.92857142857144,76.42857142857143,297.0,158.0,2520.0,325.0,820.0,1145.0,556.0,220.0,92.0,511.0,625.0,2130.0,903.0,732.0,556.0,442.0,158.0,8.0,103.0,46.0,2097.0,798.0,130.0,291.0,421.0,174.0,49.0,32.0,149.0,214.0,733.0,298.0,202.0,141.0,168.0,61.0,3.0,2.0
8,HOU,HOU,WE,5,N,,,,915,2149,554,721,126,365,374,770,1144,558,655,289,633,109,2510,924,2190,578,719,202,581,342,721,1063,588,677,310,568,160,2628,13,21,34,7,10,6,11,10,12,6800,624.0,180.8,72.4,330.0,170.0,2488.0,360.0,756.0,1116.0,553.0,284.0,103.0,591.0,639.0,2117.0,906.0,705.0,550.0,364.0,126.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,IND,IND,EA,2,Y,W,L,,907,2167,478,617,188,546,341,812,1153,511,646,308,589,136,2480,881,2192,450,608,158,483,369,795,1164,475,663,280,610,114,2370,21,13,34,12,5,9,8,12,8,6875,1179.0,183.83333333333331,78.91666666666667,330.0,170.0,2480.0,341.0,812.0,1153.0,511.0,308.0,136.0,555.0,646.0,2167.0,907.0,617.0,478.0,546.0,188.0,5.0,58.0,30.0,1302.0,462.0,56.0,168.0,224.0,94.0,49.0,21.0,72.0,112.0,421.0,161.0,125.0,97.0,120.0,43.0,1.0,0.0
8,LAS,LAS,WE,7,N,,,,940,2305,493,627,160,456,356,783,1139,554,732,245,571,107,2533,954,2212,609,800,191,537,343,836,1179,616,605,290,550,137,2708,10,24,34,5,12,5,12,6,16,6900,2302.0,183.8,74.0,344.0,170.0,2533.0,356.0,783.0,1139.0,554.0,245.0,107.0,551.0,732.0,2305.0,940.0,627.0,493.0,456.0,160.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,MIN,MIN,WE,6,N,,,,971,2355,531,674,163,496,397,785,1182,596,713,238,561,95,2636,988,2195,614,785,162,461,318,800,1118,565,645,279,529,147,2752,10,24,34,7,10,3,14,8,14,6875,0.0,180.75,73.25,308.0,167.0,2520.0,342.0,729.0,1071.0,574.0,228.0,91.0,477.0,626.0,2257.0,928.0,634.0,503.0,492.0,161.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,NYL,NYL,EA,4,Y,L,,,870,2087,430,580,243,653,287,788,1075,500,618,289,612,109,2413,920,2223,471,619,190,589,378,837,1215,509,608,321,562,115,2501,16,18,34,10,7,6,11,10,10,6850,986.0,183.28571428571428,78.0,325.0,170.0,2413.0,287.0,788.0,1075.0,500.0,289.0,109.0,582.0,618.0,2087.0,870.0,580.0,430.0,653.0,243.0,2.0,29.0,15.0,625.0,216.0,19.0,85.0,104.0,47.0,23.0,8.0,38.0,54.0,196.0,81.0,47.0,34.0,55.0,20.0,0.0,1.0
8,PHO,PHO,WE,1,Y,W,W,W,1063,2419,616,754,283,802,279,873,1152,683,658,285,486,159,3025,1022,2526,570,716,290,762,445,945,1390,628,684,244,595,109,2904,23,11,34,12,5,11,6,17,5,6850,416.0,182.69230769230768,74.92307692307692,320.0,170.0,3025.0,279.0,873.0,1152.0,683.0,285.0,159.0,483.0,658.0,2419.0,1063.0,754.0,616.0,802.0,283.0,5.0,74.0,45.0,1801.0,862.0,104.0,223.0,327.0,176.0,70.0,43.0,99.0,165.0,669.0,291.0,218.0,183.0,257.0,97.0,1.0,1.0
8,SAC,SAC,WE,3,Y,L,,,901,2214,572,745,153,429,452,723,1175,537,642,325,611,101,2527,891,2081,512,664,186,547,308,718,1026,542,689,274,649,141,2480,19,15,34,12,5,7,10,12,10,6950,0.0,184.91666666666663,75.16666666666667,313.0,170.0,2331.0,429.0,698.0,1127.0,507.0,288.0,91.0,524.0,587.0,2044.0,832.0,675.0,522.0,397.0,145.0,5.0,27.0,15.0,544.0,215.0,32.0,65.0,97.0,42.0,28.0,12.0,43.0,54.0,182.0,78.0,58.0,47.0,32.0,12.0,0.0,0.0
8,SAS,SAS,WE,2,Y,W,L,,923,2176,464,577,207,566,323,764,1087,567,653,283,558,130,2517,904,2139,529,688,147,454,361,776,1137,516,619,257,583,137,2484,20,14,34,9,8,11,6,13,9,6875,1331.0,182.4,76.3,270.0,158.0,2000.0,286.0,646.0,932.0,500.0,234.0,115.0,429.0,558.0,1761.0,750.0,472.0,376.0,351.0,124.0,1.0,42.0,25.0,942.0,382.0,55.0,108.0,163.0,96.0,38.0,24.0,67.0,92.0,318.0,140.0,82.0,63.0,87.0,39.0,1.0,0.0
8,SEA,SEA,WE,4,Y,L,,,964,2210,582,715,224,639,344,820,1164,533,620,242,533,151,2734,987,2321,478,586,195,528,333,761,1094,591,642,272,495,112,2647,17,17,34,12,5,5,12,11,11,6825,1878.0,184.7142857142857,77.0,341.0,170.0,2734.0,344.0,820.0,1164.0,533.0,242.0,151.0,507.0,620.0,2210.0,964.0,715.0,582.0,639.0,224.0,1.0,17.0,10.0,400.0,173.0,23.0,53.0,76.0,33.0,13.0,11.0,32.0,46.0,148.0,65.0,23.0,22.0,53.0,21.0,1.0,2.0
8,WAS,WAS,EA,5,N,,,,877,2170,668,839,163,528,335,783,1118,472,763,282,571,133,2585,924,2216,616,801,175,520,383,825,1208,549,762,256,579,103,2639,16,18,34,8,9,8,9,8,12,6900,209.52941176470588,183.9333333333333,78.06666666666666,353.0,169.0,2585.0,335.0,783.0,1118.0,472.0,282.0,133.0,545.0,763.0,2170.0,877.0,839.0,668.0,528.0,163.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
